geneID,DMLCount,chr,start,end,meth.diff,strand,pvalue,qvalue,Product
111103465,3,NC_035786.1,41487758,41487758,-67.7925730356425,+,8.67022589378641e-60,3.18108553141521e-56,uncharacterized LOC111103465
111103465,3,NC_035786.1,41491820,41491820,50.8469387755102,+,1.07491472851122e-22,1.31011680471542e-20,uncharacterized LOC111103465
111103465,3,NC_035786.1,41487754,41487754,-51.0907661915585,+,9.42584059182696e-47,1.19982488656905e-43,uncharacterized LOC111103465
111105686,3,NC_035787.1,45660029,45660029,-57.9658751099384,+,1.8982941593988e-67,1.43517023277559e-63,putative helicase MOV-10
111105686,3,NC_035787.1,45658937,45658937,-56.3772264631043,+,1.92355457593792e-36,9.9980918405108e-34,putative helicase MOV-10
111105686,3,NC_035787.1,45654371,45654371,52.7235564639755,+,4.78138776075404e-15,2.19648382306088e-13,putative helicase MOV-10
111112099,3,NC_035788.1,48523420,48523420,57.2023923269893,+,6.20399416328066e-87,2.57972835076866e-82,A-kinase anchor protein 9-like
111112099,3,NC_035788.1,48576354,48576354,55.1036833633179,+,1.52245930590169e-39,1.03498361679696e-36,A-kinase anchor protein 9-like
111112099,3,NC_035788.1,48520659,48520659,51.0240872595061,+,7.81386484236583e-70,6.72235964358261e-66,A-kinase anchor protein 9-like
111115356,3,NC_035788.1,65581768,65581768,-70.1393728222996,+,5.04800573009293e-44,5.0783426983837e-41,breast cancer type 1 susceptibility protein homolog
111115356,3,NC_035788.1,65581783,65581783,-74.1589811155029,+,1.55471008940459e-43,1.48615037690132e-40,breast cancer type 1 susceptibility protein homolog
111115356,3,NC_035788.1,65579241,65579241,-56.5455166913524,+,7.70350530454232e-50,1.23996816190817e-46,breast cancer type 1 susceptibility protein homolog
111115908,3,NC_035788.1,71421196,71421196,-58.5780885780886,+,3.3711103709067e-25,5.42969456747777e-23,probable proline iminopeptidase
111115908,3,NC_035788.1,71422115,71422115,-64.4013880855986,+,3.49263451131431e-28,7.95073024731292e-26,probable proline iminopeptidase
111115908,3,NC_035788.1,71420686,71420686,-59.2174176513873,+,1.35033151505659e-26,2.55610588224552e-24,probable proline iminopeptidase
111119711,3,NC_035781.1,53364502,53364502,-58.8854149688088,+,2.18518927180629e-55,5.3449387679187e-52,tubulin-specific chaperone D-like
111119711,3,NC_035781.1,53358849,53358849,-55.9090909090909,+,5.12212749173773e-24,7.28575631391166e-22,tubulin-specific chaperone D-like
111119711,3,NC_035781.1,53358700,53358700,56.9805289160128,+,7.38592661008781e-36,3.64894616666055e-33,tubulin-specific chaperone D-like
111119859,3,NC_035781.1,10427643,10427643,63.578481266577,+,4.04392645431604e-70,3.60328873213209e-66,mucin-17-like
111119859,3,NC_035781.1,10427420,10427420,56.3683502095506,+,7.08478564718903e-55,1.66753399401589e-51,mucin-17-like
111119859,3,NC_035781.1,10430445,10430445,-52.0833333333333,+,3.8020179096122e-21,3.81410126432649e-19,mucin-17-like
111123434,3,NC_035782.1,34498896,34498896,-71.5532178217822,+,2.66880814384858e-46,3.23224282580147e-43,dynein heavy chain 8
111123434,3,NC_035782.1,34280755,34280755,-50.3968253968254,+,4.87406131722199e-10,1.02731395400137e-08,dynein heavy chain 8
111123434,3,NC_035782.1,34498894,34498894,-55.0220750551876,+,6.09478805265885e-32,2.09447814572794e-29,dynein heavy chain 8
111126788,3,NC_035782.1,48688411,48688411,-58.6345381526104,+,1.3455649858059e-26,2.54901709925083e-24,uncharacterized LOC111126788
111126788,3,NC_035782.1,48662583,48662583,60.8333333333333,+,2.23895348009552e-34,9.68106426996011e-32,uncharacterized LOC111126788
111126788,3,NC_035782.1,48688414,48688414,-56.0606060606061,+,2.49551011097302e-28,5.77556424743572e-26,uncharacterized LOC111126788
111127220,3,NC_035782.1,37370861,37370861,73.6453797774552,+,2.52435962143793e-58,8.51085813372742e-55,E3 ubiquitin-protein ligase HERC2-like
111127220,3,NC_035782.1,37370882,37370882,68.0344827586207,+,1.28929517575192e-25,2.17931418919843e-23,E3 ubiquitin-protein ligase HERC2-like
111127220,3,NC_035782.1,37370873,37370873,75.1627767204247,+,7.35937025716625e-42,6.14077678576367e-39,E3 ubiquitin-protein ligase HERC2-like
111128103,3,NC_035780.1,2584493,2584493,56.4664786447676,+,3.12717630109529e-57,9.28810093887902e-54,RNA polymerase-associated protein CTR9 homolog
111128103,3,NC_035780.1,2589721,2589721,57.042957042957,+,1.68486904936225e-36,8.81255052160502e-34,RNA polymerase-associated protein CTR9 homolog
111128103,3,NC_035780.1,2586509,2586509,-53.8495091547371,+,6.66191639817937e-71,6.64833685546064e-67,RNA polymerase-associated protein CTR9 homolog
111128972,3,NC_035783.1,57926773,57926773,65.9069325735992,+,2.18565558787661e-24,3.22471966713485e-22,S phase cyclin A-associated protein in the endoplasmic reticulum-like
111128972,3,NC_035783.1,57931741,57931741,50.830889540567,+,4.75707646943025e-13,1.64588119596346e-11,S phase cyclin A-associated protein in the endoplasmic reticulum-like
111128972,3,NC_035783.1,57925336,57925336,-58.8673621460507,+,1.35130556493852e-32,4.92171929019791e-30,S phase cyclin A-associated protein in the endoplasmic reticulum-like
111129912,3,NC_035783.1,20710064,20710064,61.7194570135747,+,7.66729460929741e-28,1.67947008777034e-25,peptidyl-glycine alpha-amidating monooxygenase-like
111129912,3,NC_035783.1,20710092,20710092,83.9833315525163,+,1.1490087093927e-31,3.82732506211385e-29,peptidyl-glycine alpha-amidating monooxygenase-like
111129912,3,NC_035783.1,20710046,20710046,61.1653272101033,+,7.42699759179713e-21,7.19597914557114e-19,peptidyl-glycine alpha-amidating monooxygenase-like
111132857,3,NC_035784.1,53991915,53991915,-52.5070290534208,+,1.66935392876843e-16,9.29452769861348e-15,transcription elongation factor SPT6-like
111132857,3,NC_035784.1,53995724,53995724,-55.8517390200558,+,3.33217976108153e-28,7.62004468311169e-26,transcription elongation factor SPT6-like
111132857,3,NC_035784.1,53991052,53991052,-51.7628790646693,+,2.42373702540578e-20,2.19890592638609e-18,transcription elongation factor SPT6-like
111133229,3,NC_035784.1,2326140,2326140,-54.9870191173,+,2.91339934647898e-21,2.96670884035008e-19,kinesin-like protein KIF12
111133229,3,NC_035784.1,2333299,2333299,63.8782051282051,+,2.91088194297029e-27,5.94788789570493e-25,kinesin-like protein KIF12
111133229,3,NC_035784.1,2333164,2333164,57.8792650918635,+,1.03524753196192e-30,3.11937590617162e-28,kinesin-like protein KIF12
111136051,3,NC_035784.1,2338124,2338124,-53.4511240393593,+,6.30449528725743e-23,7.91600944382827e-21,phosphatidylinositol 4-kinase alpha-like
