geneID,DMLCount,chr,start,end,meth.diff,strand,pvalue,qvalue,Product
111112583,4,NC_035788.1,56052704,56052704,-73.2383067999506,+,2.27772397141553e-31,7.3801334275451e-29,post-GPI attachment to proteins factor 3-like
111112583,4,NC_035788.1,56054102,56054102,-56.3592589957067,+,2.11815895840137e-47,2.81095922528382e-44,post-GPI attachment to proteins factor 3-like
111112583,4,NC_035788.1,56054536,56054536,-51.5209140445368,+,8.50129998967409e-63,4.61085384628797e-59,post-GPI attachment to proteins factor 3-like
111112583,4,NC_035788.1,56054093,56054093,-55.7312476441764,+,4.09585574502887e-53,8.73398892921762e-50,post-GPI attachment to proteins factor 3-like
111119896,4,NC_035781.1,10427643,10427643,63.578481266577,+,4.04392645431604e-70,3.60328873213209e-66,glyoxalase 3-like
111119896,4,NC_035781.1,10430445,10430445,-52.0833333333333,+,3.8020179096122e-21,3.81410126432649e-19,glyoxalase 3-like
111119896,4,NC_035781.1,10427420,10427420,56.3683502095506,+,7.08478564718903e-55,1.66753399401589e-51,glyoxalase 3-like
111119896,4,NC_035781.1,10383011,10383011,-58.7995327522689,+,1.23306040539502e-57,3.94406075318241e-54,glyoxalase 3-like
111124297,4,NC_035780.1,31302905,31302905,-60.3289335847475,+,8.46636477075717e-18,5.623740062326e-16,zygotic DNA replication licensing factor mcm3-like
111124297,4,NC_035780.1,31302935,31302935,-58.2879612825166,+,1.00954268196262e-17,6.62296112592393e-16,zygotic DNA replication licensing factor mcm3-like
111124297,4,NC_035780.1,31303160,31303160,-58.0637211758493,+,5.76351771861839e-40,4.05054187130177e-37,zygotic DNA replication licensing factor mcm3-like
111124297,4,NC_035780.1,31303208,31303208,-60.6948757763975,+,1.23290644624375e-59,4.39426182024815e-56,zygotic DNA replication licensing factor mcm3-like
111127966,4,NC_035780.1,4288214,4288214,-58.168449197861,+,1.03297953561797e-29,2.74460576897546e-27,calmodulin-regulated spectrin-associated protein 1-like
111127966,4,NC_035780.1,4289629,4289629,-52.2097927746195,+,2.28939540201561e-25,3.75530692871214e-23,calmodulin-regulated spectrin-associated protein 1-like
111127966,4,NC_035780.1,4286287,4286287,67.4630816383394,+,7.52375071158354e-42,6.25701201644084e-39,calmodulin-regulated spectrin-associated protein 1-like
111127966,4,NC_035780.1,4286803,4286803,-62.0490797546012,+,3.85745583569328e-16,2.04200767030581e-14,calmodulin-regulated spectrin-associated protein 1-like
111130343,4,NC_035783.1,25304491,25304491,-63.3853151397011,+,3.81542156855322e-30,1.06716487524979e-27,cytoplasmic dynein 1 heavy chain 1-like
111130343,4,NC_035783.1,25307879,25307879,-78.1472684085511,+,1.33664330643121e-66,9.80822584057129e-63,cytoplasmic dynein 1 heavy chain 1-like
111130343,4,NC_035783.1,25307895,25307895,-50.6085359424513,+,7.89208527424e-65,4.92249885947864e-61,cytoplasmic dynein 1 heavy chain 1-like
111130343,4,NC_035783.1,25301968,25301968,-57.0774862721171,+,1.16596800403767e-35,5.64850152282604e-33,cytoplasmic dynein 1 heavy chain 1-like
111135225,4,NC_035784.1,52581363,52581363,-72.9622680842193,+,5.80866091343417e-97,4.83068386075464e-92,selenocysteine-specific elongation factor-like
111135225,4,NC_035784.1,52580951,52580951,50.7936507936508,+,6.65800498561521e-09,1.14141988178668e-07,selenocysteine-specific elongation factor-like
111135225,4,NC_035784.1,52581684,52581684,-59.676268055089,+,4.97774543663063e-38,2.96396114605072e-35,selenocysteine-specific elongation factor-like
111135225,4,NC_035784.1,52581120,52581120,-52.799139688137,+,1.43749078495514e-62,7.31918687230232e-59,selenocysteine-specific elongation factor-like
